comparison,left_model,right_model,estimate_left_minus_right,occupation_se,occupation_ci_lower,occupation_ci_upper,occupation_multiplier_p,family_se,family_ci_lower,family_ci_upper,family_multiplier_p,common_draws_preserve_covariance,interpretation_if_interval_contains_zero
d05_26_30_minus_26_65_pooled,d05_22_25_vs_26_30_pooled,d05_22_25_vs_26_65_pooled,0.011589765830308907,0.027481290350120462,-0.0412139487243172,0.064393480384935,0.6843,0.020205724096531177,-0.02800155644120709,0.0511810881018249,0.5682,True,design does not detect a difference; not equivalence
d05_31_40_minus_26_65_pooled,d05_22_25_vs_31_40_pooled,d05_22_25_vs_26_65_pooled,-0.027719073540095424,0.016954652995247007,-0.06102832308926397,0.0055901760090731195,0.1027,0.020027727430356083,-0.06646773288399438,0.011029585803803539,0.1753,True,design does not detect a difference; not equivalence
d05_41_50_minus_26_65_pooled,d05_22_25_vs_41_50_pooled,d05_22_25_vs_26_65_pooled,-0.007101790248489254,0.01733816014470328,-0.0413248127611246,0.027121232264146096,0.691,0.016838034947223985,-0.0401095229095971,0.025905942412618593,0.6725,True,design does not detect a difference; not equivalence
d05_51_65_minus_26_65_pooled,d05_22_25_vs_51_65_pooled,d05_22_25_vs_26_65_pooled,0.034980286223601206,0.016089108380443844,0.0036446757389609202,0.06631589670824149,0.0263,0.013700605137553239,0.00856919824088876,0.06139137420631365,0.0053,True,design does not detect a difference; not equivalence
d05_fixed_age_minus_observed_age_pooled,d05_22_25_vs_26_65_fixed_age_pooled,d05_22_25_vs_26_65_pooled,0.0008044094850511163,0.000978398351950158,-0.001061465863013096,0.0026702848331153287,0.4232,0.0016377179848148587,-0.0023034501545452684,0.003912269124647501,0.6321,True,design does not detect a difference; not equivalence
d06_nonenrolled_young_minus_unrestricted_young_pooled,d06_nonenrolled_young_vs_all_older_pooled,d06_unrestricted_young_vs_all_older_pooled,0.008218419804889673,0.010587761487217327,-0.012464717024421708,0.028901556634201055,0.4509,0.010216721394207269,-0.011617425800190255,0.028054265409969602,0.4544,True,design does not detect a difference; not equivalence
d06_common_universe_nonenrolled_minus_unrestricted_pooled,d06_nonenrolled_22_25_vs_nonenrolled_26_54_pooled,d06_unrestricted_22_25_vs_26_54_pooled,0.005300222710969804,0.010122330411512283,-0.014445598008940571,0.02504604343088018,0.6131,0.009953152532918721,-0.013750384409648844,0.024350829831588452,0.6313,True,design does not detect a difference; not equivalence
d05_26_30_minus_26_65_family_month,d05_22_25_vs_26_30_family_month,d05_22_25_vs_26_65_family_month,-0.08765416334576834,0.04933660139969128,-0.1846954330489543,0.009387106357417616,0.0792,0.044994980502400875,-0.17121475892372678,-0.004093567767809891,0.0374,True,design does not detect a difference; not equivalence
d05_31_40_minus_26_65_family_month,d05_22_25_vs_31_40_family_month,d05_22_25_vs_26_65_family_month,-0.0029742695990201407,0.03052939153910435,-0.06222656490564319,0.05627802570760291,0.9249,0.03863142276919102,-0.07491997505664039,0.0689714358586001,0.9499,True,design does not detect a difference; not equivalence
d05_41_50_minus_26_65_family_month,d05_22_25_vs_41_50_family_month,d05_22_25_vs_26_65_family_month,0.019489342833867156,0.029882479652817956,-0.03915416654884117,0.07813285221657548,0.5084,0.020601507065173615,-0.020577928287255846,0.05955661395499016,0.3609,True,design does not detect a difference; not equivalence
d05_51_65_minus_26_65_family_month,d05_22_25_vs_51_65_family_month,d05_22_25_vs_26_65_family_month,0.019571312668328473,0.027606651247181976,-0.03448780463751523,0.07363042997417218,0.4732,0.02809058710524404,-0.03411063742235779,0.07325326275901474,0.5079,True,design does not detect a difference; not equivalence
d05_fixed_age_minus_observed_age_family_month,d05_22_25_vs_26_65_fixed_age_family_month,d05_22_25_vs_26_65_family_month,-0.00012033628839899779,0.0012707380356411673,-0.0025714150170120173,0.0023307424402140217,0.9197,0.0013566320510566996,-0.0027362308866891736,0.002495558309891178,0.9386,True,design does not detect a difference; not equivalence
d06_nonenrolled_young_minus_unrestricted_young_family_month,d06_nonenrolled_young_vs_all_older_family_month,d06_unrestricted_young_vs_all_older_family_month,-0.006795255906617666,0.016754968567792128,-0.039285665294533784,0.025695153481298447,0.6906,0.015094480032719104,-0.0363009516146777,0.02271043980144237,0.6747,True,design does not detect a difference; not equivalence
d06_common_universe_nonenrolled_minus_unrestricted_family_month,d06_nonenrolled_22_25_vs_nonenrolled_26_54_family_month,d06_unrestricted_22_25_vs_26_54_family_month,-0.005888493956993136,0.016513899468282946,-0.03774380800055975,0.025966820086573476,0.732,0.014722602565853903,-0.03442063167220824,0.022643643758221973,0.7009,True,design does not detect a difference; not equivalence
