source,month,age_bucket,school_code,person_rows,weighted_persons
march_repair,2017-03,16_21,1,4133,10924571.6225
march_repair,2017-03,16_21,2,49,137595.601
march_repair,2017-03,16_21,3,2339,6751220.0624
march_repair,2017-03,16_21,4,248,763580.0357
march_repair,2017-03,16_21,5,2430,6595399.1672
march_repair,2017-03,22_25,1,51,174705.5338
march_repair,2017-03,22_25,2,8,23371.3253
march_repair,2017-03,22_25,3,1231,3619083.3981
march_repair,2017-03,22_25,4,332,1030635.8672
march_repair,2017-03,22_25,5,4417,12608884.5921
march_repair,2017-03,26_54,1,56,139968.8382
march_repair,2017-03,26_54,2,14,30439.4653
march_repair,2017-03,26_54,3,1172,3214222.3277
march_repair,2017-03,26_54,4,853,2274842.1032
march_repair,2017-03,26_54,5,45152,115528801.0408
march_repair,2017-03,55_65,0,18926,45043518.4607
march_repair,2018-03,16_21,1,3904,10891517.2672
march_repair,2018-03,16_21,2,45,124812.9039
march_repair,2018-03,16_21,3,2205,6820923.2271
march_repair,2018-03,16_21,4,263,826508.3257
march_repair,2018-03,16_21,5,2349,6643609.0282
march_repair,2018-03,22_25,1,31,99344.2035
march_repair,2018-03,22_25,2,3,11608.3246
march_repair,2018-03,22_25,3,1120,3383829.7825
march_repair,2018-03,22_25,4,270,859862.5396
march_repair,2018-03,22_25,5,4178,12800444.6569
march_repair,2018-03,26_54,1,54,159123.4038
march_repair,2018-03,26_54,2,22,58787.7012
march_repair,2018-03,26_54,3,1091,3199984.9377
march_repair,2018-03,26_54,4,795,2267438.8351
march_repair,2018-03,26_54,5,43239,116191544.8653
march_repair,2018-03,55_65,0,18339,45822035.025
march_repair,2019-03,16_21,1,3692,10951765.9616
march_repair,2019-03,16_21,2,34,100321.4136
march_repair,2019-03,16_21,3,2010,6409748.5974
march_repair,2019-03,16_21,4,233,770076.5213
march_repair,2019-03,16_21,5,2211,6626421.1488
march_repair,2019-03,22_25,1,30,93644.6337
march_repair,2019-03,22_25,2,8,21262.0765
march_repair,2019-03,22_25,3,1062,3535164.5727
march_repair,2019-03,22_25,4,271,857115.3872
march_repair,2019-03,22_25,5,3963,12676583.2069
march_repair,2019-03,26_54,1,49,172886.9267
march_repair,2019-03,26_54,2,17,36083.367099999996
march_repair,2019-03,26_54,3,1069,3173840.7746
march_repair,2019-03,26_54,4,737,2179310.8451
march_repair,2019-03,26_54,5,41312,116403435.5453
march_repair,2019-03,55_65,0,17959,45653204.6101
march_repair,2020-03,16_21,1,3168,10594106.0124
march_repair,2020-03,16_21,2,33,98074.8241
march_repair,2020-03,16_21,3,1827,6649100.5458
march_repair,2020-03,16_21,4,179,800276.0511
march_repair,2020-03,16_21,5,1920,6680162.2934
march_repair,2020-03,22_25,1,29,141414.7876
march_repair,2020-03,22_25,2,2,11541.1492
march_repair,2020-03,22_25,3,964,3578194.5895999996
march_repair,2020-03,22_25,4,232,940617.6824
march_repair,2020-03,22_25,5,3411,12716661.2486
march_repair,2020-03,26_54,1,50,195556.63689999998
march_repair,2020-03,26_54,2,9,29310.693700000003
march_repair,2020-03,26_54,3,856,2944173.3645
march_repair,2020-03,26_54,4,607,1964699.1985999998
march_repair,2020-03,26_54,5,35937,116139241.93090001
march_repair,2020-03,55_65,0,16428,46168640.3469
march_repair,2021-03,16_21,1,3254,10516940.5475
march_repair,2021-03,16_21,2,33,100820.8929
march_repair,2021-03,16_21,3,1787,6342597.8308
march_repair,2021-03,16_21,4,178,684048.834
march_repair,2021-03,16_21,5,2110,7040092.0791
march_repair,2021-03,22_25,1,39,125369.0398
march_repair,2021-03,22_25,2,4,16338.8073
march_repair,2021-03,22_25,3,884,3243802.3843
march_repair,2021-03,22_25,4,227,859094.4944
march_repair,2021-03,22_25,5,3536,12620186.301
march_repair,2021-03,26_54,1,62,213473.4738
march_repair,2021-03,26_54,2,14,50155.3505
march_repair,2021-03,26_54,3,835,2804468.3135
march_repair,2021-03,26_54,4,665,2172137.406
march_repair,2021-03,26_54,5,37159,116599610.2457
march_repair,2021-03,55_65,0,16090,45692031.9975
wide,2017-01,16_21,1,4004,10561819.8102
wide,2017-01,16_21,2,51,122662.3925
wide,2017-01,16_21,3,2517,7087566.7285
wide,2017-01,16_21,4,268,779379.9814
wide,2017-01,16_21,5,2412,6484245.7386
wide,2017-01,22_25,1,64,199174.39489999998
wide,2017-01,22_25,2,12,36631.5601
wide,2017-01,22_25,3,1190,3382461.7454
wide,2017-01,22_25,4,298,886648.1011
wide,2017-01,22_25,5,4697,13200384.0127
wide,2017-01,26_54,1,49,146352.3057
wide,2017-01,26_54,2,21,53318.4473
wide,2017-01,26_54,3,1157,2990354.9801
wide,2017-01,26_54,4,745,1907622.0665
wide,2017-01,26_54,5,46031,115958325.7282
wide,2017-01,55_65,0,19400,45067437.7583
wide,2017-02,16_21,1,4033,10604623.1797
wide,2017-02,16_21,2,33,70000.5621
wide,2017-02,16_21,3,2456,7083447.4069
wide,2017-02,16_21,4,297,831974.6822
wide,2017-02,16_21,5,2423,6627251.7702
wide,2017-02,22_25,1,49,145485.8218
wide,2017-02,22_25,2,8,27671.6565
wide,2017-02,22_25,3,1174,3427292.8092
wide,2017-02,22_25,4,335,988456.8853
wide,2017-02,22_25,5,4480,12808497.1846
wide,2017-02,26_54,1,65,189890.0697
wide,2017-02,26_54,2,27,78991.2054
wide,2017-02,26_54,3,1200,3193923.7608
wide,2017-02,26_54,4,872,2302025.1881
wide,2017-02,26_54,5,45783,115426607.8134
wide,2017-02,55_65,0,19308,45076807.3781
wide,2017-04,16_21,1,4270,11254575.603
wide,2017-04,16_21,2,27,62929.057799999995
wide,2017-04,16_21,3,2329,6651910.9157
wide,2017-04,16_21,4,228,736501.9884
wide,2017-04,16_21,5,2443,6547736.1967
wide,2017-04,22_25,1,49,158099.9729
wide,2017-04,22_25,2,5,13719.5109
wide,2017-04,22_25,3,1292,3734226.9492
wide,2017-04,22_25,4,295,906379.1929
wide,2017-04,22_25,5,4485,12478889.5503
wide,2017-04,26_54,1,76,197659.6146
wide,2017-04,26_54,2,15,39371.441900000005
wide,2017-04,26_54,3,1143,3114087.3855
wide,2017-04,26_54,4,799,2155231.3643
wide,2017-04,26_54,5,45648,115781570.23200001
wide,2017-04,55_65,0,18901,45077948.4223
wide,2017-05,16_21,1,4247,11189785.2127
wide,2017-05,16_21,2,38,108580.7724
wide,2017-05,16_21,3,2146,6355535.6731
wide,2017-05,16_21,4,220,670387.666
wide,2017-05,16_21,5,2572,6961538.2358
wide,2017-05,22_25,1,56,164390.6427
wide,2017-05,22_25,2,6,18750.2801
wide,2017-05,22_25,3,1116,3356246.4292
wide,2017-05,22_25,4,254,833687.9008
wide,2017-05,22_25,5,4465,12737112.7333
wide,2017-05,26_54,1,55,142054.1139
wide,2017-05,26_54,2,17,42255.6722
wide,2017-05,26_54,3,1139,3227537.4989
wide,2017-05,26_54,4,734,2083958.0108999999
wide,2017-05,26_54,5,44959,115961079.1441
wide,2017-05,55_65,0,18919,45107210.3624
wide,2017-06,16_21,1,2220,6190646.1217
wide,2017-06,16_21,2,67,174235.0094
wide,2017-06,16_21,3,1499,4468109.0769
wide,2017-06,16_21,4,316,934217.5403999999
wide,2017-06,16_21,5,5097,13535115.9899
wide,2017-06,22_25,1,44,153528.422
wide,2017-06,22_25,2,5,12267.3137
wide,2017-06,22_25,3,725,2337671.3182
wide,2017-06,22_25,4,239,758114.1352
wide,2017-06,22_25,5,4784,13843275.0546
wide,2017-06,26_54,1,54,148440.3499
wide,2017-06,26_54,2,12,24892.323
wide,2017-06,26_54,3,900,2556604.1084
wide,2017-06,26_54,4,608,1636931.8835
wide,2017-06,26_54,5,45024,117106310.3591
wide,2017-06,55_65,0,18924,45301992.5892
wide,2017-07,16_21,1,1744,4828202.5114
wide,2017-07,16_21,2,79,209876.6912
wide,2017-07,16_21,3,1495,4420492.5079
wide,2017-07,16_21,4,255,811064.0138
wide,2017-07,16_21,5,5514,14868155.2153
wide,2017-07,22_25,1,26,84573.5188
wide,2017-07,22_25,2,2,4703.3457
wide,2017-07,22_25,3,708,2239267.366
wide,2017-07,22_25,4,211,688932.4274
wide,2017-07,22_25,5,4803,14151623.2144
wide,2017-07,26_54,1,53,158627.8545
