occupation_code,occupation_name,beta_quintile,d05_common_support,d06_young_restriction_support,d06_common_enrollment_universe_support,pre_young_22_25_stock,pre_older_26_65_stock,pre_nonenrolled_young_stock,pre_older_26_54_stock,pre_nonenrolled_older_26_54_stock,pre_older_26_30_stock,pre_older_31_40_stock,pre_older_41_50_stock,pre_older_51_65_stock
0010,Chief executives,4,True,True,True,658804.9970999999,104034824.5083,605315.1028,68907306.1556,67952189.429,3621325.2264,19643095.584999997,31224698.699499995,49545704.99739999
0020,General and operations managers,4,True,True,True,2599597.5086000003,70120068.7208,2318605.7637000005,55527808.05479999,54469617.5012,8082858.884699999,21472666.149,18871518.1403,21693025.546800002
0040,Advertising and promotions managers,4,True,True,True,441644.3994,3631860.6641000006,403706.7801,3174672.2665,3136725.5222000005,766955.2004999999,1307467.4446,850900.8847999999,706537.1342000001
0051,Marketing managers,4,True,True,True,2820576.7088959296,37087168.81563857,2553753.6164266397,31246197.64120879,30652956.558550056,5674352.2286561895,12340164.131222479,9903817.041708663,9168835.414051242
0052,Sales managers,3,True,True,True,1875203.5252040697,35100152.00016144,1696869.1096733601,27875601.96829121,27344660.87344994,3989251.9248438105,9998083.845077518,9857442.449891338,11255373.780348761
0060,Public relations and fundraising managers,5,True,True,True,282877.45739999996,5859403.259799999,256259.76829999994,4572218.9042,4448562.8062,651461.5504999999,1724399.7399000002,1692166.8291,1791375.1403
0101,Administrative services managers,3,True,True,True,94499.77188648,4230083.00176045,81618.97907267,2963974.63698221,2875813.7524078605,256711.81917759005,972026.5226690398,1198662.27788108,1802682.38203274
0102,Facilities managers,3,True,True,True,104304.61821351999,7726852.064739549,88960.41972733,5185359.616717789,5087225.47499214,398507.4750224099,1605696.02423096,2147169.42231892,3575479.14316726
0110,Computer and information systems managers,4,True,True,True,1059064.7151000001,46597443.5163,988802.6207000001,36755283.26200001,35760976.18310001,3120536.5528,13234062.474200001,14966510.1488,15276334.340499999
0120,Financial managers,4,True,True,True,3076454.483599999,82465436.99909998,2763119.7622,64724309.03720001,63146712.1486,8592236.920699999,24062672.3846,23180444.5299,26630083.163899995
0135,Compensation and benefits managers,4,True,True,True,42855.1546,1279246.5631000006,33652.8507,988422.4198999999,972119.1169,93496.1965,277567.0589,442387.8886,465795.41909999994
0136,Human resources managers,4,True,True,True,478814.38740000007,20234374.102,390931.7933,16138124.0097,15766722.415399997,1853954.2684,6225661.2961,5902882.5068,6251876.030699999
0137,Training and development managers,4,True,True,True,129258.73240000001,3642309.4910999998,124087.8981,2886686.2977000005,2801767.3256999995,444834.9943,1075144.6174,972604.9183999998,1149724.9610000004
0140,Industrial production managers,3,True,True,True,534439.4709,18006645.737099998,501735.1241,13716964.881499998,13520059.065699998,1333139.4314999997,4567916.1159999985,5531313.5929999985,6574276.5966
0150,Purchasing managers,5,True,True,True,543314.9259,14565269.171599997,479913.08780000004,10668108.137400001,10391799.741400003,1462491.5813,3792166.1874,3584448.5365000004,5726162.866400001
0160,"Transportation, storage, and distribution managers",4,True,True,True,989020.7343,19726297.229,860586.6190000001,14945102.5725,14570349.5329,2104612.7778,5054123.932700002,5254175.9752,7313384.5433
0205,"Farmers, ranchers, and other agricultural managers",3,True,True,True,1608917.7911999999,46051395.4182,1508868.5857000002,27270376.866600003,27040247.060699996,3578905.7410999993,8615929.2046,10119028.8669,23737531.605600003
0220,Construction managers,3,True,True,True,2280112.8704000004,65194445.4586,2111429.6522,49113909.819000006,48542909.71870001,6070770.275400001,17626647.965400003,17897385.835400004,23599641.3824
0300,Architectural and engineering managers,3,True,True,True,145421.5883,11196410.517399997,109316.34270000001,8079214.5606,7928218.5105,530243.6437,2766496.9048,3462395.4224000005,4437274.5465
0310,Food service managers,3,True,True,True,8182612.366100001,67576731.9818,7110266.726299999,54974446.239,53957310.4595,11397193.644499999,18933198.2643,18187386.9102,19058953.162799995
0335,Entertainment and recreation managers,3,True,True,True,172291.48147824,4157771.51970752,144405.32556799997,3207202.4510065597,3140269.9151305603,444496.98477744,1052332.26421648,1170636.8889427201,1490305.3817708802
0340,Lodging managers,3,True,True,True,335542.3768,8435570.1227,318260.6449,6290798.2733,6128565.2463,1081761.6001,2091251.7386999999,2279716.8915999997,2982839.8923
0350,Medical and health services managers,3,True,True,True,1198063.0731,46857890.16100001,987338.4441,35642623.9061,33978423.60350001,4102571.4701000005,12377034.188900001,13609487.7302,16768796.771800002
0360,Natural sciences managers,4,True,True,True,46595.1373,1139874.0020999997,29771.9513,936125.5612,889930.498,133995.1249,253736.2597,425675.8937999999,326466.7237
0410,"Property, real estate, and community association managers",3,True,True,True,1934628.0079000003,45099056.51559998,1756886.8398,31628676.665199995,30945491.701400004,4598124.7743,10721751.3142,11162548.5706,18616631.856500007
0420,Social and community service managers,3,True,True,True,1313534.0284999998,26420840.3552,1114174.5939999998,19911604.2118,19062303.2202,2653173.6245,7367264.232200001,6888305.0224,9512097.4761
0425,Emergency management directors,3,True,True,True,34826.1811,803683.9857999999,34826.1811,601726.3825999999,565527.9523,81018.2985,177500.3413,178047.6629,367117.6831000001
0426,"Personal service managers, all other",3,True,True,True,29275.3533648,952594.4220503999,24944.492985000004,706774.1628312,692091.5520612,81913.0160988,241387.7055546,271960.6690044,357333.0313926
0440,"Managers, all other",4,True,True,True,9365539.35230104,298131933.6227669,8116019.617846751,222517372.99891475,217769034.7975813,25203924.562486738,76302655.94518083,86358308.97693361,110267044.13816574
0500,"Agents and business managers of artists, performers, and athletes",5,True,True,True,291579.68929999997,2581991.0617,271341.0898,2149507.8895,2062695.9695999997,484684.34010000003,679808.305,702102.5608,715395.8558
0510,"Buyers and purchasing agents, farm products",4,True,True,True,35949.3296,633059.8160999999,35949.3296,517731.5496,506817.8759,157791.4797,170037.1988,164622.28960000002,140608.848
