analysis_status,origin_month,destination_month,origin_period_exclusion_rule,post_onset_destination_month_share,positive_weight_link_records_fractional,positive_weight_link_weight,age_26_crossings_fractional,crosses_occupation_taxonomy
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2017-01,2018-01,pre,0.0,16755.83281582228,55499848.19475983,262.1899167806922,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2017-02,2018-02,pre,0.0,16808.680649756665,56115620.74364278,246.98010104686492,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2017-03,2018-03,pre,0.0,16674.739150858746,56903530.97644901,286.36273995300866,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2017-04,2018-04,pre,0.0,17102.67261296792,57822991.551094025,289.9590614374112,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2017-05,2018-05,pre,0.0,16731.79572130833,57199206.93754433,268.4539706783348,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2017-06,2018-06,pre,0.0,16398.825716482075,56605970.04001387,248.1553199142453,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2017-07,2018-07,pre,0.0,16039.674467691417,56090405.64659769,242.42094731923913,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2017-08,2018-08,pre,0.0,16262.488631930095,55720045.91591255,265.0132707238334,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2017-09,2018-09,pre,0.0,16573.464424017053,56698194.36030386,312.2258076297781,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2017-10,2018-10,pre,0.0,16626.280313605024,57000936.21978194,298.1567400430183,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2017-11,2018-11,pre,0.0,16636.832282215124,57613454.56716477,293.4575568201895,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2017-12,2018-12,pre,0.0,16149.34072266944,57361528.24359157,268.2592159938535,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2018-01,2019-01,pre,0.0,16153.958207971922,57413730.21394782,253.8721569902064,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2018-02,2019-02,pre,0.0,16174.828492600383,58523993.2114296,273.9989221744716,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2018-03,2019-03,pre,0.0,15685.259291748322,57594670.10718627,263.1765256648204,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2018-04,2019-04,pre,0.0,16241.547469477362,57656485.36667009,269.04298771553226,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2018-05,2019-05,pre,0.0,15993.926188117965,57476442.363743156,263.19936884815195,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2018-06,2019-06,pre,0.0,15981.536717031848,57446635.02342267,247.4509151650368,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2018-07,2019-07,pre,0.0,15843.616102088097,57487378.46968518,267.8539857953403,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2018-08,2019-08,pre,0.0,16129.979425115896,57239814.81226885,281.0919415686647,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2018-09,2019-09,pre,0.0,16304.702433557726,58134512.57455,271.7795084130955,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2018-10,2019-10,pre,0.0,16398.75872053121,58057647.99459501,285.8305149505093,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2018-11,2019-11,pre,0.0,16196.689774840155,57906049.009099126,261.587274858753,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2018-12,2019-12,pre,0.0,16083.763689305117,58226300.63569669,276.995374858753,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2019-01,2020-01,pre,0.0,15296.546993674288,55747804.97901184,258.5290418732013,True
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2019-02,2020-02,pre,0.0,15545.946140093158,56579800.72091332,254.5056680613132,True
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2019-03,2020-03,pre,0.0,14568.573068788986,58019551.87846136,221.28021965421908,True
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2019-04,2020-04,pre,0.0,14918.233148347226,58524827.32834671,227.96366989149578,True
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2019-05,2020-05,pre,0.0,14649.976272020578,58333954.407884985,244.8602717216787,True
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2019-06,2020-06,pre,0.0,14185.046006154978,57298870.70819108,226.32102766501998,True
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2019-07,2020-07,pre,0.0,14187.206654205558,57410961.24894184,237.5292473192393,True
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2019-08,2020-08,pre,0.0,14714.122685547703,57670668.04913036,252.20998971573198,True
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2019-09,2020-09,pre,0.0,15379.963188366724,57744568.41648562,257.2467085831124,True
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2019-10,2020-10,pre,0.0,15403.482368762081,57566527.019651204,275.39374931943894,True
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2019-11,2020-11,pre,0.0,15062.791319164862,57671963.54915561,224.9564647409809,True
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2019-12,2020-12,pre,0.0,14611.56957529189,57193634.45531243,244.0414016469249,True
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2020-01,2021-01,pre,0.0,15142.0,58474534.4472,240.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2020-02,2021-02,pre,0.0,15261.0,58976621.4999,248.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2020-03,2021-03,pre,0.0,13144.0,56434062.706,228.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2020-04,2021-04,pre,0.0,11303.0,47119998.5629,184.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2020-05,2021-05,pre,0.0,10782.0,46934413.345800005,187.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2020-06,2021-06,pre,0.0,10021.0,46646783.109,138.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2020-07,2021-07,pre,0.0,10400.0,47455490.9778,141.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2020-08,2021-08,pre,0.0,11023.0,49133512.85260001,150.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2020-09,2021-09,pre,0.0,12556.0,51776251.8283,211.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2020-10,2021-10,pre,0.0,13380.0,53868057.4602,221.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2020-11,2021-11,pre,0.0,12998.0,54134879.0074,194.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2020-12,2021-12,pre,0.0,12571.0,53912592.6744,200.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2021-01,2022-01,pre,0.0,12725.0,53367192.836600006,189.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2021-02,2022-02,pre,0.0,12673.0,53309647.718100004,202.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2021-03,2022-03,pre,0.0,12301.0,53948598.458,214.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2021-04,2022-04,pre,0.0,12906.0,53638618.4077,236.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2021-05,2022-05,pre,0.0,13166.0,54576123.6578,234.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2021-06,2022-06,pre,0.0,12470.0,54395792.4856,209.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2021-07,2022-07,pre,0.0,12657.0,55387456.7735,209.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2021-08,2022-08,pre,0.0,13009.0,56189309.2035,211.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2021-09,2022-09,pre,0.0,12603.0,56580201.9679,204.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2021-10,2022-10,pre,0.0,12866.0,56760181.95040001,216.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2021-11,2022-11,pre,0.0,12524.0,56831325.15189999,197.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2021-12,2022-12,straddling_or_transition,0.0,12251.0,56265205.702199996,187.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2022-01,2023-01,straddling_or_transition,0.08333333333333333,12416.0,56940504.9188,180.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2022-02,2023-02,straddling_or_transition,0.16666666666666666,12428.0,57880669.130899996,210.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2022-03,2023-03,straddling_or_transition,0.25,12191.0,58586085.3205,222.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2022-04,2023-04,straddling_or_transition,0.3333333333333333,12918.0,58548493.1465,220.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2022-05,2023-05,straddling_or_transition,0.4166666666666667,13293.0,59515185.702199996,227.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2022-06,2023-06,straddling_or_transition,0.5,12655.0,58209998.0631,198.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2022-07,2023-07,straddling_or_transition,0.5833333333333334,12756.0,58973801.2795,203.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2022-08,2023-08,straddling_or_transition,0.6666666666666666,12881.0,58550053.7865,225.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2022-09,2023-09,straddling_or_transition,0.75,12663.0,59463456.2519,189.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2022-10,2023-10,straddling_or_transition,0.8333333333333334,12830.0,59649209.73639999,199.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2022-11,2023-11,straddling_or_transition,0.9166666666666666,12437.0,60067580.570099995,194.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2022-12,2023-12,straddling_or_transition,1.0,12351.0,60480034.552200004,200.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2023-01,2024-01,post,1.0,12447.0,60308227.726,191.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2023-02,2024-02,post,1.0,12332.0,60955185.032800004,185.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2023-03,2024-03,post,1.0,11924.0,61448972.265,192.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2023-04,2024-04,post,1.0,12610.0,60493111.995000005,213.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2023-05,2024-05,post,1.0,12675.0,59202072.930099994,235.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2023-06,2024-06,post,1.0,12559.0,59188057.6143,232.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2023-07,2024-07,post,1.0,12640.0,59054616.4622,257.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2023-08,2024-08,post,1.0,12889.0,60054864.81310001,256.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2023-09,2024-09,post,1.0,12839.0,60623101.6261,206.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2023-10,2024-10,post,1.0,13087.0,60895549.104100004,225.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2023-11,2024-11,post,1.0,12802.0,60593998.4711,207.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2023-12,2024-12,post,1.0,12823.0,59882189.828899994,196.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2024-01,2025-01,post,1.0,12732.0,59719048.4194,183.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2024-02,2025-02,post,1.0,12673.0,60473406.6162,202.0,False
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,2024-03,2025-03,post,1.0,12128.0,61389197.255799994,193.0,False
