analysis_status,horizon,period,age_group,beta_quintile,margin,denominator,raw_fractional_risk,raw_fractional_event,risk_weight,event_weight,probability,weight_used
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,1,link_retention,eligible employed origin,176098.0,154681.0,636038067.7557999,556856390.669,0.875507959191523,origin WTFINL for both numerator and denominator
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,1,employment_exit,retained employed origin,154681.0,6553.0,621080762.3026001,27282557.6014,0.04392755219184766,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,1,unemployment_entry,retained employed origin,154681.0,2053.0,621080762.3026001,8703057.2732,0.01401276259295846,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,1,labor_force_exit,retained employed origin,154681.0,4500.0,621080762.3026001,18579500.328199998,0.0299147895988892,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,1,occupational_outflow,"retained employed origin, employed endpoint, valid same-taxonomy occupations",148128.0,10737.0,593798204.7012,46529890.3674,0.07835976936106416,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,2,link_retention,eligible employed origin,184483.0,164449.0,657347573.8012,583688237.7260001,0.8879446140658054,origin WTFINL for both numerator and denominator
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,2,employment_exit,retained employed origin,164449.0,5635.0,649873633.7876999,22674839.1195,0.034891151049386,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,2,unemployment_entry,retained employed origin,164449.0,1529.0,649873633.7876999,6187102.948299999,0.009520470790974105,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,2,labor_force_exit,retained employed origin,164449.0,4106.0,649873633.7876999,16487736.1712,0.025370680258411896,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,2,occupational_outflow,"retained employed origin, employed endpoint, valid same-taxonomy occupations",158814.0,8898.0,627198794.6682,37720555.1151,0.06014130676870143,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,3,link_retention,eligible employed origin,200091.0,179869.0,682606119.8849,612037771.5491,0.8966192269889126,origin WTFINL for both numerator and denominator
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,3,employment_exit,retained employed origin,179869.0,4222.0,678422088.7853,16344173.258499999,0.024091452104343897,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,3,unemployment_entry,retained employed origin,179869.0,1028.0,678422088.7853,4110166.4214,0.006058420693169297,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,3,labor_force_exit,retained employed origin,179869.0,3194.0,678422088.7853,12234006.8371,0.0180330314111746,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,3,occupational_outflow,"retained employed origin, employed endpoint, valid same-taxonomy occupations",175647.0,9558.0,662077915.5267999,38991302.5716,0.05889231713849801,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,4,link_retention,eligible employed origin,210053.0,189608.0,734772515.1653,661784820.1869,0.9006662695297195,origin WTFINL for both numerator and denominator
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,4,employment_exit,retained employed origin,189608.0,3504.0,732394684.0354999,14192678.254,0.01937845612941678,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,4,unemployment_entry,retained employed origin,189608.0,905.0,732394684.0354999,3707128.3954,0.005061653881720845,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,4,labor_force_exit,retained employed origin,189608.0,2599.0,732394684.0354999,10485549.8586,0.014316802247695935,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,4,occupational_outflow,"retained employed origin, employed endpoint, valid same-taxonomy occupations",186104.0,11208.0,718202005.7815,46864814.6769,0.06525297102993301,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,5,link_retention,eligible employed origin,185996.0,168848.0,665639518.8025,602702306.159,0.9054485034831986,origin WTFINL for both numerator and denominator
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,5,employment_exit,retained employed origin,168848.0,3641.0,668430324.7461001,14759467.332400002,0.02208078656216908,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,5,unemployment_entry,retained employed origin,168848.0,959.0,668430324.7461001,4034814.9846,0.006036253645632556,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,5,labor_force_exit,retained employed origin,168848.0,2682.0,668430324.7461001,10724652.347800002,0.016044532916536524,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,5,occupational_outflow,"retained employed origin, employed endpoint, valid same-taxonomy occupations",165207.0,11002.0,653670857.4137001,46444190.8873,0.07105134084003695,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,young_22_25,1,link_retention,eligible employed origin,21762.0,18551.0,86893382.0404,74081238.2592,0.8525532844924468,origin WTFINL for both numerator and denominator
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,young_22_25,1,employment_exit,retained employed origin,18551.0,987.0,85308724.2416,4809301.5667,0.05637526067181285,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,young_22_25,1,unemployment_entry,retained employed origin,18551.0,324.0,85308724.2416,1524066.5452,0.017865306963022232,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,young_22_25,1,labor_force_exit,retained employed origin,18551.0,663.0,85308724.2416,3285235.0215,0.03850995370879061,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,young_22_25,1,occupational_outflow,"retained employed origin, employed endpoint, valid same-taxonomy occupations",17564.0,1556.0,80499422.6749,7617155.5961,0.09462372950005088,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,young_22_25,2,link_retention,eligible employed origin,20311.0,17380.0,84770575.60119998,72539689.7261,0.8557177913638367,origin WTFINL for both numerator and denominator
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,young_22_25,2,employment_exit,retained employed origin,17380.0,1039.0,83636580.2385,5293236.815,0.06328853714374362,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,young_22_25,2,unemployment_entry,retained employed origin,17380.0,273.0,83636580.2385,1379088.6292,0.01648906047171416,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,young_22_25,2,labor_force_exit,retained employed origin,17380.0,766.0,83636580.2385,3914148.1858,0.04679947667202945,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,young_22_25,2,occupational_outflow,"retained employed origin, employed endpoint, valid same-taxonomy occupations",16341.0,1327.0,78343343.4235,6804089.401899999,0.08684961739658194,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,young_22_25,3,link_retention,eligible employed origin,13746.0,11818.0,54899475.6748,47142783.1267,0.8587109903554054,origin WTFINL for both numerator and denominator
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,young_22_25,3,employment_exit,retained employed origin,11818.0,436.0,54208813.785299994,2091624.1482000002,0.03858457697458773,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,young_22_25,3,unemployment_entry,retained employed origin,11818.0,112.0,54208813.785299994,527063.7864999999,0.009722843015667053,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,young_22_25,3,labor_force_exit,retained employed origin,11818.0,324.0,54208813.785299994,1564560.3616999998,0.02886173395892067,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,young_22_25,3,occupational_outflow,"retained employed origin, employed endpoint, valid same-taxonomy occupations",11382.0,859.0,52117189.637099996,4408318.7173,0.08458473582316699,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,young_22_25,4,link_retention,eligible employed origin,11993.0,10367.0,48566162.6274,41936780.3876,0.8634979195152666,origin WTFINL for both numerator and denominator
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,young_22_25,4,employment_exit,retained employed origin,10367.0,334.0,48193468.2543,1566488.3625999999,0.03250416330972884,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,young_22_25,4,unemployment_entry,retained employed origin,10367.0,91.0,48193468.2543,401704.17339999997,0.008335241018146861,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,young_22_25,4,labor_force_exit,retained employed origin,10367.0,243.0,48193468.2543,1164784.1892,0.024168922291581983,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,young_22_25,4,occupational_outflow,"retained employed origin, employed endpoint, valid same-taxonomy occupations",10033.0,858.0,46626979.8917,4162625.6215,0.08927504271493644,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,young_22_25,5,link_retention,eligible employed origin,14129.0,12307.0,58861975.7389,51147660.622700006,0.8689423007066709,origin WTFINL for both numerator and denominator
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,young_22_25,5,employment_exit,retained employed origin,12307.0,504.0,58712187.1196,2431459.9554000003,0.04141320694538224,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,young_22_25,5,unemployment_entry,retained employed origin,12307.0,135.0,58712187.1196,597820.8996000001,0.010182228408255438,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,young_22_25,5,labor_force_exit,retained employed origin,12307.0,369.0,58712187.1196,1833639.0558000002,0.0312309785371268,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,young_22_25,5,occupational_outflow,"retained employed origin, employed endpoint, valid same-taxonomy occupations",11803.0,1029.0,56280727.1642,5281127.6925,0.09383545591179407,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,pre,older_26_65,1,link_retention,eligible employed origin,379923.53250599245,345468.7591365153,1125563331.6302593,1018731799.8684576,0.9050861655140564,origin WTFINL for both numerator and denominator
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,pre,older_26_65,1,employment_exit,retained employed origin,345468.7591365153,16298.14038650875,1104827479.4983964,54773799.4278879,0.04957678953890231,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,pre,older_26_65,1,unemployment_entry,retained employed origin,345468.7591365153,5916.404238453879,1104827479.4983964,20066029.928848878,0.01816213870599876,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,pre,older_26_65,1,labor_force_exit,retained employed origin,345468.7591365153,10381.736148054872,1104827479.4983964,34707769.499039024,0.03141465083290355,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,pre,older_26_65,1,occupational_outflow,"retained employed origin, employed endpoint, valid same-taxonomy occupations",324616.9715337849,23030.73041375148,1035896752.8939688,79083633.02764048,0.07634316142675972,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,pre,older_26_65,2,link_retention,eligible employed origin,385543.41251071607,353208.4638336003,1112809508.4593885,1015446176.2822267,0.9125067395299714,origin WTFINL for both numerator and denominator
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,pre,older_26_65,2,employment_exit,retained employed origin,353208.4638336003,13666.854299037042,1099455213.36854,44401291.46143154,0.040384811424372336,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,pre,older_26_65,2,unemployment_entry,retained employed origin,353208.4638336003,4289.700538482864,1099455213.36854,14180364.041053178,0.012897627723831517,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,pre,older_26_65,2,labor_force_exit,retained employed origin,353208.4638336003,9377.153760554178,1099455213.36854,30220927.42037836,0.027487183700540818,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,pre,older_26_65,2,occupational_outflow,"retained employed origin, employed endpoint, valid same-taxonomy occupations",334439.32442547183,18164.072327407768,1039527400.6078008,60977843.114241794,0.058659197514744375,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,pre,older_26_65,3,link_retention,eligible employed origin,420953.5885749296,388945.34300383355,1178740904.584378,1085779220.8629692,0.9211347605229777,origin WTFINL for both numerator and denominator
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,pre,older_26_65,3,employment_exit,retained employed origin,388945.34300383355,9831.563893554785,1172036958.936408,30814736.365876373,0.02629160806826426,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,pre,older_26_65,3,unemployment_entry,retained employed origin,388945.34300383355,2701.8495058010412,1172036958.936408,8903972.447527915,0.00759700654457862,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,pre,older_26_65,3,labor_force_exit,retained employed origin,388945.34300383355,7129.714387753745,1172036958.936408,21910763.91834846,0.01869460152368564,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,pre,older_26_65,3,occupational_outflow,"retained employed origin, employed endpoint, valid same-taxonomy occupations",373646.7786886752,20209.86515426565,1125246446.7923326,65936321.86757225,0.058597227350090875,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,pre,older_26_65,4,link_retention,eligible employed origin,415883.11169842375,385096.5158302104,1199962013.59106,1107752567.399253,0.9231563623286233,origin WTFINL for both numerator and denominator
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,pre,older_26_65,4,employment_exit,retained employed origin,385096.5158302104,7593.159331226976,1195342663.3138275,24686661.54192061,0.02065237216036631,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,pre,older_26_65,4,unemployment_entry,retained employed origin,385096.5158302104,2193.58437786224,1195342663.3138275,7558543.162054615,0.0063233275227541855,LNKFW1MWT
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,pre,older_26_65,4,labor_force_exit,retained employed origin,385096.5158302104,5399.574953364736,1195342663.3138275,17128118.379865993,0.014329044637612122,LNKFW1MWT
