analysis_status,horizon,period,age_group,beta_quintile,link_status,characteristic,weighted_mean,origin_WTFINL,raw_fractional_records,comparison_weight
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,1,eligible_not_retained,age_years,42.27526420964167,79181677.0868,21417.0,origin WTFINL times bridge route fraction
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,1,eligible_not_retained,BA_plus,0.12080484483694556,79181677.0868,21417.0,origin WTFINL times bridge route fraction
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,1,eligible_not_retained,full_time_35plus,0.802651767038602,79181677.0868,21417.0,origin WTFINL times bridge route fraction
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,1,eligible_not_retained,wage_salary_class,0.8646997989793026,79181677.0868,21417.0,origin WTFINL times bridge route fraction
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,1,retained_positive_official_weight,age_years,43.764961135207656,556856390.669,154681.0,origin WTFINL times bridge route fraction
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,1,retained_positive_official_weight,BA_plus,0.1236294340256954,556856390.669,154681.0,origin WTFINL times bridge route fraction
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,1,retained_positive_official_weight,full_time_35plus,0.7944033645901848,556856390.669,154681.0,origin WTFINL times bridge route fraction
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,1,retained_positive_official_weight,wage_salary_class,0.862476409129656,556856390.669,154681.0,origin WTFINL times bridge route fraction
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,2,eligible_not_retained,age_years,42.29260497742603,73659336.07519999,20034.0,origin WTFINL times bridge route fraction
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,2,eligible_not_retained,BA_plus,0.3282924268678231,73659336.07519999,20034.0,origin WTFINL times bridge route fraction
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,2,eligible_not_retained,full_time_35plus,0.7807707514236355,73659336.07519999,20034.0,origin WTFINL times bridge route fraction
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,2,eligible_not_retained,wage_salary_class,0.9205058367207922,73659336.07519999,20034.0,origin WTFINL times bridge route fraction
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,2,retained_positive_official_weight,age_years,43.836781910247225,583688237.7260001,164449.0,origin WTFINL times bridge route fraction
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,2,retained_positive_official_weight,BA_plus,0.3766223768629281,583688237.7260001,164449.0,origin WTFINL times bridge route fraction
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,2,retained_positive_official_weight,full_time_35plus,0.778101493520244,583688237.7260001,164449.0,origin WTFINL times bridge route fraction
POST-OUTCOME REFEREE-DIRECTED FLOW SELECTION EXTENSION,adjacent_month,post,older_26_65,2,retained_positive_official_weight,wage_salary_class,0.9258351534090341,583688237.7260001,164449.0,origin WTFINL times bridge route fraction
