analysis_id,restriction_family,matrix_id,Mbar,s,max_positive,rows,columns,rhs_rule,full_bias_order_including_reference,free_coefficient_order
unconditioned__full_2017Q1_2022Q3,DeltaSD,smoothness__unconditioned__full_2017Q1_2022Q3,,,,74,38,all entries equal M,2017Q1|2017Q2|2017Q3|2017Q4|2018Q1|2018Q2|2018Q3|2018Q4|2019Q1|2019Q2|2019Q3|2019Q4|2020Q1|2020Q2|2020Q3|2020Q4|2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2|2026Q3,2017Q1|2017Q2|2017Q3|2017Q4|2018Q1|2018Q2|2018Q3|2018Q4|2019Q1|2019Q2|2019Q3|2019Q4|2020Q1|2020Q2|2020Q3|2020Q4|2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2|2026Q3
unconditioned__full_2017Q1_2022Q3,DeltaRM,relative__unconditioned__full_2017Q1_2022Q3__Mbar_0__s_-22__positive,0.0,-22,true,75,38,all entries equal zero,2017Q1|2017Q2|2017Q3|2017Q4|2018Q1|2018Q2|2018Q3|2018Q4|2019Q1|2019Q2|2019Q3|2019Q4|2020Q1|2020Q2|2020Q3|2020Q4|2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2|2026Q3,2017Q1|2017Q2|2017Q3|2017Q4|2018Q1|2018Q2|2018Q3|2018Q4|2019Q1|2019Q2|2019Q3|2019Q4|2020Q1|2020Q2|2020Q3|2020Q4|2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2|2026Q3
unconditioned__full_2017Q1_2022Q3,DeltaRM,relative__unconditioned__full_2017Q1_2022Q3__Mbar_0__s_-22__negative,0.0,-22,false,75,38,all entries equal zero,2017Q1|2017Q2|2017Q3|2017Q4|2018Q1|2018Q2|2018Q3|2018Q4|2019Q1|2019Q2|2019Q3|2019Q4|2020Q1|2020Q2|2020Q3|2020Q4|2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2|2026Q3,2017Q1|2017Q2|2017Q3|2017Q4|2018Q1|2018Q2|2018Q3|2018Q4|2019Q1|2019Q2|2019Q3|2019Q4|2020Q1|2020Q2|2020Q3|2020Q4|2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2|2026Q3
unconditioned__full_2017Q1_2022Q3,DeltaRM,relative__unconditioned__full_2017Q1_2022Q3__Mbar_0__s_-21__positive,0.0,-21,true,75,38,all entries equal zero,2017Q1|2017Q2|2017Q3|2017Q4|2018Q1|2018Q2|2018Q3|2018Q4|2019Q1|2019Q2|2019Q3|2019Q4|2020Q1|2020Q2|2020Q3|2020Q4|2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2|2026Q3,2017Q1|2017Q2|2017Q3|2017Q4|2018Q1|2018Q2|2018Q3|2018Q4|2019Q1|2019Q2|2019Q3|2019Q4|2020Q1|2020Q2|2020Q3|2020Q4|2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2|2026Q3
unconditioned__full_2017Q1_2022Q3,DeltaRM,relative__unconditioned__full_2017Q1_2022Q3__Mbar_0__s_-21__negative,0.0,-21,false,75,38,all entries equal zero,2017Q1|2017Q2|2017Q3|2017Q4|2018Q1|2018Q2|2018Q3|2018Q4|2019Q1|2019Q2|2019Q3|2019Q4|2020Q1|2020Q2|2020Q3|2020Q4|2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2|2026Q3,2017Q1|2017Q2|2017Q3|2017Q4|2018Q1|2018Q2|2018Q3|2018Q4|2019Q1|2019Q2|2019Q3|2019Q4|2020Q1|2020Q2|2020Q3|2020Q4|2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2|2026Q3
unconditioned__full_2017Q1_2022Q3,DeltaRM,relative__unconditioned__full_2017Q1_2022Q3__Mbar_0__s_-20__positive,0.0,-20,true,75,38,all entries equal zero,2017Q1|2017Q2|2017Q3|2017Q4|2018Q1|2018Q2|2018Q3|2018Q4|2019Q1|2019Q2|2019Q3|2019Q4|2020Q1|2020Q2|2020Q3|2020Q4|2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2|2026Q3,2017Q1|2017Q2|2017Q3|2017Q4|2018Q1|2018Q2|2018Q3|2018Q4|2019Q1|2019Q2|2019Q3|2019Q4|2020Q1|2020Q2|2020Q3|2020Q4|2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2|2026Q3
unconditioned__full_2017Q1_2022Q3,DeltaRM,relative__unconditioned__full_2017Q1_2022Q3__Mbar_0__s_-20__negative,0.0,-20,false,75,38,all entries equal zero,2017Q1|2017Q2|2017Q3|2017Q4|2018Q1|2018Q2|2018Q3|2018Q4|2019Q1|2019Q2|2019Q3|2019Q4|2020Q1|2020Q2|2020Q3|2020Q4|2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2|2026Q3,2017Q1|2017Q2|2017Q3|2017Q4|2018Q1|2018Q2|2018Q3|2018Q4|2019Q1|2019Q2|2019Q3|2019Q4|2020Q1|2020Q2|2020Q3|2020Q4|2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2|2026Q3
unconditioned__full_2017Q1_2022Q3,DeltaRM,relative__unconditioned__full_2017Q1_2022Q3__Mbar_0__s_-19__positive,0.0,-19,true,75,38,all entries equal zero,2017Q1|2017Q2|2017Q3|2017Q4|2018Q1|2018Q2|2018Q3|2018Q4|2019Q1|2019Q2|2019Q3|2019Q4|2020Q1|2020Q2|2020Q3|2020Q4|2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2|2026Q3,2017Q1|2017Q2|2017Q3|2017Q4|2018Q1|2018Q2|2018Q3|2018Q4|2019Q1|2019Q2|2019Q3|2019Q4|2020Q1|2020Q2|2020Q3|2020Q4|2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2|2026Q3
unconditioned__full_2017Q1_2022Q3,DeltaRM,relative__unconditioned__full_2017Q1_2022Q3__Mbar_0__s_-19__negative,0.0,-19,false,75,38,all entries equal zero,2017Q1|2017Q2|2017Q3|2017Q4|2018Q1|2018Q2|2018Q3|2018Q4|2019Q1|2019Q2|2019Q3|2019Q4|2020Q1|2020Q2|2020Q3|2020Q4|2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2|2026Q3,2017Q1|2017Q2|2017Q3|2017Q4|2018Q1|2018Q2|2018Q3|2018Q4|2019Q1|2019Q2|2019Q3|2019Q4|2020Q1|2020Q2|2020Q3|2020Q4|2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2|2026Q3
unconditioned__full_2017Q1_2022Q3,DeltaRM,relative__unconditioned__full_2017Q1_2022Q3__Mbar_0__s_-18__positive,0.0,-18,true,75,38,all entries equal zero,2017Q1|2017Q2|2017Q3|2017Q4|2018Q1|2018Q2|2018Q3|2018Q4|2019Q1|2019Q2|2019Q3|2019Q4|2020Q1|2020Q2|2020Q3|2020Q4|2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2|2026Q3,2017Q1|2017Q2|2017Q3|2017Q4|2018Q1|2018Q2|2018Q3|2018Q4|2019Q1|2019Q2|2019Q3|2019Q4|2020Q1|2020Q2|2020Q3|2020Q4|2021Q1|2021Q2|2021Q3|2021Q4|2022Q1|2022Q2|2022Q3|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2|2026Q3
