"lb","ub","method","Delta","Mbar","analysis_id","structure","calibration_window","target"
-0.259912519908795,0.0190896201062956,"C-LF","DeltaRM",0,"unconditioned__full_2017Q1_2022Q3","unconditioned","full_2017Q1_2022Q3","dynamic_P_equal_observed_post_month"
-1.02349732416062,0.788548153621599,"C-LF","DeltaRM",0.5,"unconditioned__full_2017Q1_2022Q3","unconditioned","full_2017Q1_2022Q3","dynamic_P_equal_observed_post_month"
-1.46696388355303,1.46696388355303,"C-LF","DeltaRM",1,"unconditioned__full_2017Q1_2022Q3","unconditioned","full_2017Q1_2022Q3","dynamic_P_equal_observed_post_month"
-1.46696388355303,1.46696388355303,"C-LF","DeltaRM",1.5,"unconditioned__full_2017Q1_2022Q3","unconditioned","full_2017Q1_2022Q3","dynamic_P_equal_observed_post_month"
-1.46696388355303,1.46696388355303,"C-LF","DeltaRM",2,"unconditioned__full_2017Q1_2022Q3","unconditioned","full_2017Q1_2022Q3","dynamic_P_equal_observed_post_month"
-0.259912519908795,0.0190896201062956,"C-LF","DeltaRM",0,"unconditioned__recent_2021Q1_2022Q3","unconditioned","recent_2021Q1_2022Q3","dynamic_P_equal_observed_post_month"
-0.985318083948032,0.741558319513794,"C-LF","DeltaRM",0.5,"unconditioned__recent_2021Q1_2022Q3","unconditioned","recent_2021Q1_2022Q3","dynamic_P_equal_observed_post_month"
-1.46696388355303,1.46696388355303,"C-LF","DeltaRM",1,"unconditioned__recent_2021Q1_2022Q3","unconditioned","recent_2021Q1_2022Q3","dynamic_P_equal_observed_post_month"
-1.46696388355303,1.46696388355303,"C-LF","DeltaRM",1.5,"unconditioned__recent_2021Q1_2022Q3","unconditioned","recent_2021Q1_2022Q3","dynamic_P_equal_observed_post_month"
-1.46696388355303,1.46696388355303,"C-LF","DeltaRM",2,"unconditioned__recent_2021Q1_2022Q3","unconditioned","recent_2021Q1_2022Q3","dynamic_P_equal_observed_post_month"
-0.420333718993205,0.00667196379354307,"C-LF","DeltaRM",0,"family_month__full_2017Q1_2022Q3","family_month","full_2017Q1_2022Q3","dynamic_P_equal_observed_post_month"
-2.2217639432498,1.88371777771029,"C-LF","DeltaRM",0.5,"family_month__full_2017Q1_2022Q3","family_month","full_2017Q1_2022Q3","dynamic_P_equal_observed_post_month"
-2.2217639432498,2.2217639432498,"C-LF","DeltaRM",1,"family_month__full_2017Q1_2022Q3","family_month","full_2017Q1_2022Q3","dynamic_P_equal_observed_post_month"
-2.2217639432498,2.2217639432498,"C-LF","DeltaRM",1.5,"family_month__full_2017Q1_2022Q3","family_month","full_2017Q1_2022Q3","dynamic_P_equal_observed_post_month"
-2.2217639432498,2.2217639432498,"C-LF","DeltaRM",2,"family_month__full_2017Q1_2022Q3","family_month","full_2017Q1_2022Q3","dynamic_P_equal_observed_post_month"
-0.420333718993205,0.00667196379354307,"C-LF","DeltaRM",0,"family_month__recent_2021Q1_2022Q3","family_month","recent_2021Q1_2022Q3","dynamic_P_equal_observed_post_month"
-2.2217639432498,1.88371777771029,"C-LF","DeltaRM",0.5,"family_month__recent_2021Q1_2022Q3","family_month","recent_2021Q1_2022Q3","dynamic_P_equal_observed_post_month"
-2.2217639432498,2.2217639432498,"C-LF","DeltaRM",1,"family_month__recent_2021Q1_2022Q3","family_month","recent_2021Q1_2022Q3","dynamic_P_equal_observed_post_month"
-2.2217639432498,2.2217639432498,"C-LF","DeltaRM",1.5,"family_month__recent_2021Q1_2022Q3","family_month","recent_2021Q1_2022Q3","dynamic_P_equal_observed_post_month"
-2.2217639432498,2.2217639432498,"C-LF","DeltaRM",2,"family_month__recent_2021Q1_2022Q3","family_month","recent_2021Q1_2022Q3","dynamic_P_equal_observed_post_month"
